,formula,target
8967,Zr0.135Ti0.315Nb0.367Ni0.183PbO3,1275.0
2803,Al3Si3N5O3,1675.0
4357,Sr1.5MoFeBi0.08O6,1280.0
2625,Ca0.3Eu0.14Pr0.56CoO3,1200.0
4215,SrY2Mo4O16,500.0
6205,Ba0.99La0.01SnO3,1300.0
8231,Ti0.88Nb0.267Ni0.133O3,1200.0
10904,Na3Y0.2Zr1.8Si2PO12,1250.0
1264,Ca0.5La0.5MnO3,1286.5384615384614
8416,Zr0.227Ti0.909Nb0.667Ni0.333O3,1200.0
243,Ba3La3W3Mn2O18,1200.0
7106,Na3.2Sn1.2Sb0.8O6,1300.0
7406,BaZr0.085Ti0.765Sn0.15O3,1427.0
3487,CaNb0.1Mn0.9O3,1250.0
9051,Y0.9V0.3P0.7O4,1200.0
404,La0.8Mn1.8Bi0.8O3,1020.0
11607,SrHo0.075Ta2Bi1.925O9,1200.0
1219,K0.5Na0.5Nb0.97Sb0.03O3,1020.0
3463,Ca2.6Eu0.4GeO4Cl2,800.0
5776,Sr10Bi6O24,900.0
7464,SrSm0.006Ti4Bi3.994O15,1160.0
10824,Ba0.98Mg1.99P2O8,1100.0
10555,Sr0.8La0.2Fe0.6Ni0.4O3,1400.0
4698,K2Ti5.6Nb0.4Fe2O16,1050.0
4718,Ba0.124Ti0.496Nb1.24Zn0.62O4.452,1260.0
7537,Mg0.2Mn0.3Fe2Zn0.5O4,1200.0
10658,SrMn0.5Co0.5O3,900.0
297,Ca0.1Gd0.9CrO3,1400.0
4670,Ca0.5La0.25MnBi0.25O3,1100.0
5000,Ca2.98Yb0.02Co3.95Ga0.05O9,920.0
10169,Ba0.91Ca0.09Ti0.95Sn0.05O3,1300.0
891,Mn27Zn72.5AlO128,1350.0
3476,Ba0.94Ca0.06Zr0.1Ti0.9O3,1450.0
7544,SrLa0.15Ti4Bi3.85O15,1050.0
8886,Sr0.25La0.75Cr0.3Mn0.5Al0.2O3,1500.0
11589,CaTm0.12B2Bi1.88O7,800.0
9532,Li1.4Zr1.6Al0.4P3O12,900.0
1375,Na0.02CaWO4,800.0
6228,Ba0.7Ca0.3La0.005TiO3,1350.0
5672,Fe1.96Ni0.2Cu0.2Zn0.6O4,950.0
7240,Ba0.4La0.6Nb0.467Zn0.533O3,1350.0
7474,Lu2.34Ce0.06Y0.6Al5O12,1550.0
10381,Mg3Tb0.2Eu0.04In3.76P6O24,1200.0
2066,Sr2LaFeCu2O7,980.0
10727,Mn1.6Ni0.6Al0.6Si0.2O4,1280.0
9347,Na3Pr0.9La8.1B8O27,970.0
2830,Al2B2SiO8,870.0
358,LiRh2O4,900.0
8986,Ba0.88Ca0.12Hf0.05Ti0.95O3,1450.0
6672,Na0.64Sm0.16Co2O4,920.0
349,Sr3SmFe3O10,1500.0
3321,La0.55MnAg0.45O3,1000.0
11475,Zn1.2GeO4,1350.0
10000,LaCr0.9Ru0.1O3,1150.0
8981,Sr0.05La0.95Cr0.05Co0.95O3,1600.0
11004,Ba0.15La1.85Mo2O9,950.0
11238,BaTi4Nb0.8Bi4O15,1100.0
473,LaMnBi0.8O3,1020.0
6415,Na0.295Li0.015Sr0.38TiBi0.31O3,1150.0
9953,BaTi0.8Mn0.8Fe10.4O19,1350.0
1824,Y0.15Hf0.04Zr0.81O2,1600.0
1277,Sr0.5Dy0.5TiO3,1100.0
8948,K2Y0.3WPO8,900.0
7096,Hf0.5Ti0.5PbO3,1100.0
4750,Ba0.372Ti0.62Nb1.24Zn0.62O4.948,1260.0
4263,Sr0.37Nd0.63MnO3,1400.0
339,Ti0.75Fe0.1Zn0.15Pb0.6Bi0.4O3,1050.0
5058,Ba3Tb0.45Ce0.003P4O13,800.0
9152,Nb0.3V0.7Bi2O5.5,825.0
1586,Sr3.1Y0.9Rh0.4Co3.6O10.5,1100.0
7905,K0.505Na0.505NbO3,1100.0
1450,BaGdCo1.9Ni0.1O5,1050.0
5137,Na0.15Sr0.25Pr0.6MnO3,1100.0
6232,Li3Mg2NbO6,975.0
1364,Sr2YFeCu2O6,990.0
11292,Zr0.1Ti0.9NiZnO4,1550.0
2028,Sr5.87Eu0.13BP5O20,1020.0
626,Sc0.04Zr0.96W2O8,1200.0
5146,BaTiCr0.025Sb0.025O3,1000.0
4798,SrNb0.03V0.97O3,1500.0
4174,La0.9Cr0.05Mn0.95Te0.1O3,1100.0
2618,Ba3Ti2RuO9,1100.0
1548,Ba0.93Dy0.14Ti0.93O3,1400.0
9208,Yb0.15Y2.85Al5O12,1720.0
6348,MgLaTi3Al7O18,1500.0
5854,La9.667Si6O26.5,1700.0
3940,La0.056Zr0.588Ti0.392Pb0.92Bi0.024O3,1250.0
7212,Ti0.9NbW0.1Bi3O9,1150.0
10274,Ba2GdEu6Si6O26,700.0
6667,BaY0.05Zr0.95O3,1625.0
3502,Ca4Nb0.2Mn2.8O10,1220.0
24,LaFeO3,1337.5
11472,Zn0.2GeO4,1350.0
10941,YSiNO2,1600.0
11052,Sr0.2Ca0.8LaRhO4,1300.0
314,V0.02Zn0.98O,630.0
3621,BaCaTiO3,1135.0
10576,K0.25Na0.25TiBi0.5O3,1100.0
4758,Sr2Ca2Cu3Pb0.1Bi1.9O,845.0
4323,Ba2Tb0.3Y0.7Cu3O7,950.0
9591,NaMn2O4,900.0
6468,Ca0.05Tb0.95MnO3,1200.0
3338,Li2SnO3,1075.0
10171,Zr0.51Ti0.47Nb0.02Pb0.99O3,1250.0
11468,Sr0.8Ce0.133Ta2Bi2O9,1250.0
6038,Mn0.04Sn0.96O2,1150.0
4796,SrNb0.1V0.9O3,1500.0
2993,SrTi0.7Fe0.3O3,1250.0
3296,Ba0.7Sr0.255La0.03Ti0.01Nb1.99O2.995,1250.0
4810,BaZrSi3O9,1400.0
10820,Ba0.996Mg2P2O8,1100.0
205,Sc0.333Mo0.667BiO4,895.0
61,Li3V2P3O12,784.375
10495,U0.84GdZr1.72O7,1500.0
3593,Ca0.97Mg0.03Ti4Cu3O12,1030.0
7515,NaCa2Nb3O10,1275.0
1436,Sr0.3La0.7Ti0.2Mn0.8O3,1362.5
5461,Sr1.996SnO4,1300.0
5943,SrV2Pb0.05Bi1.95O9,850.0
6762,K0.4Na0.6Co2O4,920.0
1281,Ca0.1Ce0.9O1.9,1538.5
2766,EuZrO3,1550.0
9073,K0.04Sr0.92Pr0.04B4O7,900.0
5937,Sr0.3Ce0.14La0.56MnO3,1400.0
9272,Ca0.05Sm0.15Ce0.8O1.875,1500.0
4059,Zr0.64Ti0.16Mn0.2PbO3,1230.0
5705,Ba2Mg0.93Mn0.07Si2O7,1270.0
11214,W0.5Cd0.3PbO3,850.0
7364,Ba0.9La0.1CoO3,1050.0
7734,SrTi0.8Nb0.1Fe0.1O3,1400.0
11325,Mg0.77Zr0.07Fe1.86Zn0.3O4,1100.0
3277,Na0.92Ba2Yb0.08Nb5O15,1200.0
5347,LiMn0.9Fe0.1PO4,600.0
8106,Zr0.455Ti0.455O3,1200.0
3976,Fe2Co0.3Ni0.7O4,1150.0
10306,SrLa0.06Ti4Bi3.94O15,1050.0
868,Ca0.97Ti0.93Fe0.07O3,1450.0
393,La0.6Mn2O3,1020.0
10242,Ba0.952Ca0.048Zr0.02Ti0.97Sn0.01O3,1450.0
6543,Sr0.1La0.9FeO3,1400.0
3566,Zr0.1Ti0.9PbO3,1175.0
989,Gd0.03FeBi0.97O3,820.0
10869,Na0.5Zr0.73Ti0.27Bi0.5O3,950.0
1031,Sr2PrMn2O7,1550.0
10579,MgPr0.6La0.4Al11O19,1400.0
904,Yb3Al7O15,1250.0
6152,Ba2GdCr0.15Cu2.85O7,930.0
6273,Sr0.2La0.8Co0.2Ga0.8O3,1500.0
10979,Li0.29La0.57TiO3,1200.0
1423,SrFeO,1200.0
4972,CaZr0.9In0.1O3,1416.6666666666667
4663,CaTi0.8Fe0.2O3,1150.0
10885,Ba0.838Ca0.162Zr0.092Ti0.902Mn0.006O3,1480.0
5021,Ca2.95Eu0.05Co3.95Ag0.05O9,920.0
6067,Sr0.33La0.37MnBi0.3O3,1000.0
682,Ba1.9Ca0.15Nd0.1Y0.85Cu3O,950.0
1021,Mg1.99Ag0.01Sn0.6Si0.4,600.0
7181,K0.05Na0.445Sr0.01TiBi0.495O3,1200.0
7165,Li7Ca0.25La2.75Zr1.75Nb0.25O12,975.0
6151,Ba2GdCr0.05Cu2.95O7,930.0
8823,Ca2MoFe0.6Co0.4O6,1270.0
8704,Ba0.85Ca0.15Mg0.01Ti0.98W0.01O3,1450.0
2116,Mg0.98Pr0.02B2O0.037,850.0
2501,Ba2Ca0.6Mg1.2Y0.4Cu2.8O7,940.0
5592,Ca1.96Eu0.04BO3Cl,800.0
3955,Ba2Ca0.92Tb0.08Zn2Si6O17,900.0
5971,Li9Al3P8O29,750.0
3795,Ca0.8Eu0.2Ta2Bi2O9,1200.0
7635,BaTi0.98Sn0.02O3,1175.0
6165,NaCa4B3O9,800.0
2480,Ba2Ca0.4Mg3Y0.6CuO7,940.0
4787,La9.03Si6O26,1350.0
9779,Gd0.05Pr0.4Ce0.55O2,1600.0
4969,SrCa9P6O24Cl2,1400.0
2367,Sr3Fe2O7,1325.0
6768,K0.16Na0.24Co2O4,920.0
4326,Ba2Gd0.9Ce0.1Cu3O7,950.0
10694,Ba0.96Ca0.04Dy0.16Ti0.9Sn0.1O3.24,1480.0
11360,Ba0.06TiBi0.564O3,1160.0
6767,KCo2O4,920.0
8458,Zr0.88Nb0.667Ni0.333O3,1200.0
10285,Gd4.75Ce0.25Si3NO12,1600.0
7655,Mn0.1Fe2Ni0.5Zn0.4O4,1300.0
10294,SrCe0.056Ta2Bi1.925O9,1200.0
3631,Ba0.7Ca0.3Ti2O5,1000.0
10111,Sr2EuTa0.8Cu2Sn0.2O8,1030.0
10654,Sr0.164Ca0.164La0.492Mn0.82O2.46,900.0
10259,Ba0.9Ca0.1Ti0.98Sn0.02O3,1450.0
4795,SrNb0.05V0.95O3,1500.0
3902,Sr0.99Eu0.01WO4,1000.0
11463,Ba4SrNb4O15,1450.0
8757,BaCe0.4Y0.2Zr0.3Sn0.1O3,1450.0
5004,Pr0.06Zr0.06Fe0.94Bi0.94O3,820.0
1028,Yb2Si2O7,1500.0
10655,Sr0.176Ca0.176La0.528Mn0.88O2.64,900.0
638,Y0.01Zr0.99W2O8,1200.0
9972,Sr0.35Ca0.3La0.35Fe11.71Co0.29O19,1190.0
9869,Sr0.25Gd0.05La0.7CoO3,1300.0
3450,BaCa5.8Si0.2P3.8O17,1250.0
9010,Mg0.18La9.71Si5.81O26.37,1550.0
11479,Zn1.8GeO4,1350.0
10943,BaAl2SiO6,1500.0
6236,Yb0.05FeBi0.95O3,825.0
582,La0.8Mn1.4BiO3,1020.0
9116,Na0.2Sr0.8LaFeO4,1050.0
5386,Ba0.9Sr0.1GdCo2O6,1100.0
1394,TiNi0.4Pb0.6O3,1000.0
3534,Y1.2Mo3Fe0.8O12,900.0
6510,Ba2ErCu3O7,940.0
197,BaZr0.2Ti0.8O3,1321.6666666666667
5932,Ca0.1La0.9CoO3,1200.0
4170,Ce0.3La0.45Y0.25MnO3,1350.0
482,LaMn1.6BiO3,1020.0
11575,NaCa4BO3,800.0
2825,Sr2Gd8Si6O26,1500.0
1411,SrTm2CuO5,950.0
1032,BaRuO3,1220.0
10436,Ca0.4Gd0.6Mn0.8Co0.2O3,1300.0
10564,Sr0.6La0.4NiO3,1400.0
11584,CaTm0.03B2Bi1.97O7,800.0
1129,TmFeO3,1350.0
8969,Ba0.93Sr0.07Ti0.9Sn0.1O3,1380.0
2581,Sr0.8Ca1.2Nb2O7,1400.0
3821,Ca1.92Eu0.08P2O7,1050.0
6326,CaMg0.6Ti3Al7.4O18,1500.0
1757,Sr0.2Pr0.2La0.6MnO3,1350.0
200,Ba2SmRu0.1Cu2.9O7,930.0
10164,GdTi3Nb7Pb5O30,1200.0
11435,CaHfTi4Cu3O14,1000.0
271,YMnO3,1302.7777777777778
5248,Ca3.9P2O9,1400.0
2769,Ce0.5La0.5O2,1430.0
1707,Fe0.01Cd0.99Te,750.0
1980,Mn2InO4,1300.0
8283,Zr0.352Ti0.704Nb0.133Ni0.067O3,1200.0
6357,La0.03Zr0.894Ti0.099Pb0.97O3,1250.0
3847,LiEu0.6La8.4Si6O26,1350.0
5003,Ca3Co3.95Ga0.05O9,920.0
6279,LaTi3Al8O18,1500.0
3224,Nb1.2Mn1.2Bi1.6O7,1150.0
8865,CaCe0.4NbMn0.6SnO7,1350.0
895,Ba0.9Ca0.1TiO3,1300.0
1260,SrPr0.03Al2O4,1500.0
1365,BaGd2CuO5,900.0
3055,Na0.7CoO2,800.0
2161,Ni0.08Zn0.92S,600.0
9718,Mn3Cu0.5Ge0.85Si0.15N,850.0
4177,Mg0.95TiMn0.05FeO4,1300.0
6759,K0.12Na0.48Co2O4,920.0
6559,Li0.75Ti0.2V0.25Fe1.6Zn0.2O4,950.0
5810,Sr0.2La0.8Cr0.8Co0.2O3,1510.0
8207,Zr0.176Ti0.528O3,1200.0
9843,Na0.06Li1.94RuO3,1000.0
10533,CaMg0.8Ti4Cu2.2O12,600.0
26,Li2FeSiO4,650.0
7124,Y1.39SiO5,1400.0
3205,K0.2CaLa1.8Cu2O6,850.0
1105,Dy0.04Nd299.96Ce0.8O2,1200.0
3191,ZrTe5,500.0
6115,Gd0.3FeBi0.7O3,830.0
11346,Yb0.5Bi1.5O3,1100.0
10542,Mg0.98Tb0.02Fe2O4,1000.0
6975,Na0.5Mg0.015Ti0.985Bi0.501O3,1150.0
6486,CuZnO2,800.0
1939,Ba0.85Sr0.15TiO3.25,1350.0
1442,LaCr0.02Mn0.98O3,1550.0
5398,Fe2Co0.4Zn0.6O4,1250.0
