,formula,target
7434,Nb1.5Mn0.3Zn0.7Bi1.5O7,950.0
2937,UThO4,1750.0
1311,Nd2MnCoO6.12,1320.0
9985,Li0.2La0.8MnO3,1100.0
2546,Ag0.8Cu1.2Ga0.4Ge0.6Se3,550.0
4200,La0.1FeBi0.9O3,857.5
5206,Sr0.5Gd0.5Ti0.5Mn0.5O3,1300.0
6170,Mg0.4Fe1.94Cu0.15Zn0.45O3.91,1100.0
11071,Sr2Ca0.45Y0.55Cu2Bi2O8,880.0
3531,Y1.8Mo3Fe0.2O12,900.0
3148,MgAlB14,850.0
7768,Sr1.99Eu0.01CeO4,1000.0
5829,La9.83Al1.5Si4.5O26,1600.0
9920,KCeMoFeO6,900.0
7679,Cs0.24Ti7.76Ga0.24O16,1250.0
8121,Zr0.176Ti0.528Nb0.133Ni0.067O3,1200.0
11219,Mg0.333V0.667PbO3,1050.0
10132,Mg0.2Cr0.1Fe2Ni0.5Zn0.2O4,1350.0
892,Ba0.5Sr0.5GdCo2O5,1100.0
387,Mg0.28La9.71Si5.72O26.29,1600.0
8041,SrTi0.995Ni0.005O2.995,1350.0
6520,Sr2Sc0.25MoFe0.75O6,1250.0
10058,Li0.5Fe1.9Zn0.6O4,1150.0
1022,Mg1.95Ag0.05Sn0.6Si0.4,600.0
9042,Ca0.98Al2Si2O8,1300.0
1067,BaYb0.5Zr0.5O3,1500.0
5551,Na0.5Gd0.498Pr0.002TiO3,1250.0
927,Ca0.4Al8Si4N4O17,1450.0
3289,Ca0.22Sm0.78AlO2.89,1600.0
8716,Sr2.85Eu0.15Ti2O7,1525.0
10996,Ce0.97Ta0.03O2,1650.0
1450,BaGdCo1.9Ni0.1O5,1050.0
5184,Ca2Mg2La2Ti5O17,1625.0
4189,K2GdNb5O15,1180.0
4264,Sr0.41Nd0.59MnO3,1400.0
10324,BaTi4Bi4O15,1100.0
6090,K0.2La0.78MnCd0.02O3,1100.0
680,Ba1.9Ca0.05Nd0.1Y0.95Cu3O,950.0
1055,MoCo0.7Zn0.3O4,600.0
6992,BaCe0.75Zr0.15Nb0.1O3,1600.0
8962,Ba1.05Ce0.9Y0.1O3,1550.0
5503,Li0.7Mg0.7Y1.3Mo3O12,800.0
10561,Sr0.4La0.6Fe0.6Ni0.4O3,1400.0
4093,Nb0.3Mn0.4PbSb0.3O3,1230.0
11595,Ca0.05Mn0.05Fe0.95Bi0.95O3,850.0
11048,Sr0.9Ca0.1LaRhO4,1300.0
3004,Ba2La6.4Si6O26,1350.0
6412,Sr0.6La4.4Sc0.4Ti4.6O17,1650.0
7784,Na0.18Ba0.72Sr0.1TiO3,1260.0
4111,Zr0.2Nb0.08Mn0.64PbSb0.08O3,1230.0
6616,Lu1.8Ce1.2Al5O12,1830.0
5001,Ca2.9Yb0.1Co3.95Ga0.05O9,920.0
3823,Ca1.94Eu0.06P2O7,1050.0
4803,Ca4P2O9,1350.0
7377,BaHf0.1Zr0.1Ti0.8O3,1350.0
4986,CaP2O8,1200.0
6592,Na0.4Ba0.2TiBi0.4O3,1125.0
10721,Ba0.8Ti0.84Zn0.04Bi0.2O3,1050.0
2626,Ca0.3Eu0.07Pr0.63CoO3,1200.0
7933,V2ZnB2O9,920.0
3026,La0.8CoPb0.2O3,1100.0
1930,Sr2MoCrO6,1350.0
8483,Zr0.227Ti0.227Nb0.133Ni0.067O3,1200.0
3750,Fe70Ni30,1250.0
7562,CaW3.84Mo0.16O4,1100.0
3597,Ba4Sm8.37Ce0.93Ti18O54,1300.0
8832,Na0.5La0.1Ti4Cu3Bi0.4O12,970.0
11028,Ca0.8Ce0.2MnO3,1400.0
5885,Sr0.1Ca0.4MnBi0.5O3,1050.0
5002,Ca2.95Yb0.05Co3.95Ga0.05O9,920.0
2728,Ba3.4P2O8,1300.0
5440,LiMn0.05Co0.95PO4,780.0
6407,Li0.25Sr0.1La0.25Mo0.5Pb0.9O3,650.0
10429,Ca0.4Gd0.6Mn0.2Co0.8O3,1300.0
5151,Ti0.95Cr0.025Sb0.025O2,1000.0
1062,Pr1.9Ce0.1CuO4,1100.0
10677,Sr0.333Nd1.667Ni0.8Al0.2O4,1400.0
641,TbSc0.3Mn0.7O3,1200.0
6713,Na0.16Nd0.24Co2O4,920.0
5185,Ca3MgLa2Ti5O17,1625.0
4621,Gd0.3Ce0.7O2,1600.0
8565,Zr0.2TiNb0.267Ni0.133O3,1200.0
10008,Ca0.1Mn0.5Fe2Zn0.4O4,1250.0
4962,K0.5Ti4Bi4.5O15,1110.0
1850,CoSb3,653.3333333333334
582,La0.8Mn1.4BiO3,1020.0
7975,Ca2.6La0.4Mn2O7,1300.0
5727,Ba0.92PrCo2O5,1100.0
1423,SrFeO,1200.0
3555,Li3.25Ge0.25P0.75S4,1200.0
2948,Zn1.995SiO4,1200.0
191,BaAl2B2SiO9,920.0
5968,Sr3.2Pr0.8Fe1.5Co1.5O10,1200.0
4177,Mg0.95TiMn0.05FeO4,1300.0
488,La0.4Mn1.6Bi0.6O3,1020.0
5351,Ca0.4Gd8Si6O26,1350.0
2839,Ca2.3Tb0.7Co4O9,900.0
1440,Sr0.8La0.2Cr0.02Mn0.98O3,1550.0
1068,Sr0.5La0.5Ti0.1Fe0.8Cu0.1O3,1200.0
1985,Mn2.6Ni0.2In0.2O4,1300.0
6775,Na0.16Yb0.64Co2O4,920.0
7097,Hf0.1Ti0.9PbO3,1100.0
1154,SrLaFeCu,1200.0
11354,Na0.564Ba0.06TiBi0.94O3,1160.0
2793,Ca0.32Pr0.68MnO3,1148.5
3853,NaLa8.7Si6O26,1350.0
11161,Sr2MoCr0.03Fe0.97O6,1200.0
1792,Sr3PrFe2.8Ni0.2O10,1500.0
194,Cu0.06Zn0.94O,500.0
9887,Mn0.4Fe0.8Ni0.3Cu0.07Zn0.63O4,1125.0
3954,Ba2Ca0.94Tb0.06Zn2Si6O17,900.0
255,MgTi2O4,1300.0
8957,BaFe10.75O19,900.0
9148,Ba2Ca0.2Y0.8Cu3O7,970.0
1738,CaZr0.4Co0.4Pd0.2O3,1200.0
7367,CaTi4Mn0.5Cu2.5O12,1075.0
11508,Ba2Al14O23,1550.0
10859,Ca0.8La1.2NiO4,1500.0
4952,TiMnO3,1291.6666666666667
6313,Mg0.8LaAl10.2O18,1500.0
8033,DyMn0.98Fe0.02O3,1300.0
11343,Er0.5Bi1.5O3,1100.0
7707,Na0.4Nb0.4Fe0.6Bi0.6O3,870.0
919,Ca2.8Al8Si4N4O17,1450.0
1292,Li2RhO3,850.0
1395,TiNi0.2Pb0.8O3,1000.0
2569,Sr1.9SiO4,1350.0
9999,Mg0.4Fe2Cd0.6O4,1150.0
9493,Ca0.005Ce0.1La0.895NbO4,1500.0
4184,Sr0.333Sm0.467La0.2MnO3,1280.0
8216,Zr0.352Ti0.176Nb0.667Ni0.333O3,1200.0
6836,Ba0.998Pr0.002TiO3,1400.0
1862,Nb0.98W0.02Cu0.02Bi0.98O4,850.0
2736,Sr4.98Eu0.02P3O12Cl,1050.0
5413,Fe1.4CoAl0.6O4,1250.0
8025,Ca2.17Ce0.03Sc2Mn0.8Si3O12,1350.0
27,Zn3Ga2Ge2O10,1287.5
11243,BaTi4Fe4Bi4O15,1100.0
6172,Mg0.45Fe1.94Cu0.1Zn0.45O3.91,1100.0
1129,TmFeO3,1350.0
5699,BaGd1.99Sm0.01Mo4O16,850.0
3828,Sr1.92Eu0.08P2O7,1050.0
2067,Sr2YbFeCu2O7,980.0
11179,Li0.05Mg0.4Fe2.05Zn0.6O4,1000.0
6964,Er0.06Ce0.015Y2.925Ga3Al2O12,1600.0
6490,Ce0.15Y2.85Al5O12,1100.0
4679,Ca0.5Sm0.5Mn0.2Ni0.8O3,1500.0
1474,Mg0.4Rh0.6CuO2,930.0
9950,Ca0.6Pr0.4MnO3,1300.0
4103,Ti0.8Mn0.2PbO3,1230.0
5375,Gd1.6Si6O26,1350.0
10340,Y2.85Al5N0.15O12,1600.0
10015,Fe0.05Zn0.92Al0.03O,950.0
203,Ba2SmRu0.3Cu2.7O7,930.0
3846,LiEu0.1La8.9Si6O26,1350.0
11515,Na5Eu0.8La0.2W4O16,1000.0
6431,Sr0.03La1.97CuO4,1000.0
8722,Sr2.85Dy0.15Ti2O7,1525.0
6075,Mn0.6Fe1.5Co0.5Cd0.4O4,1200.0
2833,Li0.02Sr0.96Ce0.02B2O4,750.0
1246,Sr0.1La0.9GaO3,1500.0
11393,Ba0.8Sr0.2Zr0.36Ti0.64O3,1400.0
2642,TiW0.5Ni0.5Pb2O6,970.0
6780,Na0.04Yb0.16Co2O4,920.0
11283,Sm0.02TiW0.02Fe0.02Pb0.98O3,1250.0
9228,Gd2.994Ce0.006Cr0.001Ga3Al2O12,1600.0
4602,Zr0.118Ti0.392Nb0.02Pb0.99Sn0.47O3,1300.0
1730,Gd1.9Eu0.1O3,1350.0
5372,Ca1.6Si6O26,1350.0
9098,Sr2MgSi2O5,1200.0
8245,Zr0.6Ti0.6O3,1200.0
4169,Ce0.3La0.7MnO3,1350.0
8810,Mg0.15Sm0.05Ce0.8O2,1550.0
10780,BaMg1.992P2O8,1100.0
10612,Mn0.6ZnAl1.4O4,1250.0
580,La0.4Mn1.6O3,1020.0
6002,Ca0.3La0.6MnPb0.1O3,900.0
4529,LaNiO3,1280.0
4785,La9.23Si6O26,1350.0
6213,Ca0.15La0.85MnO3,1150.0
1057,MoZnO4,600.0
353,Sr3GdFe3O10,1500.0
6941,Sr1.94SiO4,1500.0
815,Ba2Gd0.03YCu2.97O7,930.0
272,SrTi2Bi12O23,980.0
187,Ca0.06Y1.54Cr0.2Mn0.2O3,1600.0
7019,NaBa0.6Eu0.4ScSi2O7,1250.0
9199,BaHo0.003Ti0.003O0.009,1450.0
4917,Li6.4La3Zr2Ga0.05Al0.15O12,1230.0
9280,Lu0.2Gd0.2Bi2O3.6,750.0
7416,Gd0.75Ti3Fe0.5Co0.5Bi4.25O15,980.0
1144,K220CeBi25O2,800.0
8290,Ti0.2Nb0.667Ni0.333O3,1200.0
7125,Li6.4La3Zr1.4Ta0.4Nb0.2O12,1150.0
814,Ba2Gd0.1YCu2.9O7,930.0
8069,Zr0.176Ti0.704O3,1200.0
2207,Ca12Al14O32Cl2,1150.0
3526,Zn0.98Ga0.02O,1400.0
7023,BaSrCaUO6,1195.0
2299,Fe2Ni0.3Zn0.7O4,1162.5
3473,Ba2.4Mg0.6Si6N2O12,1350.0
8971,Y0.667Ti4Cu3O12,1020.0
3848,LiEu0.3La8.7Si6O26,1350.0
8743,Th0.95Y0.05O2,1600.0
7910,Mn1.5Co1.5O4,1200.0
530,La0.6Mn1.6Bi0.6O3,1020.0
10164,GdTi3Nb7Pb5O30,1200.0
7164,SrYbInO4,1400.0
4138,CaW0.7Mo0.3O4,1100.0
10733,Yb0.16Er0.04La0.8VO4,1350.0
9643,Na0.4La0.6MnO3,1200.0
1530,Ba0.16Ca0.34La0.5MnO3,1300.0
3568,Gd0.12Zr0.63Ti0.34Pb0.88O3,1150.0
8638,Zr0.8TiNb0.534Ni0.266O3,1200.0
3288,Ca0.15Sm0.85AlO2.925,1600.0
6767,KCo2O4,920.0
2460,Ba1.8Sr0.2YCu3O6.95,950.0
7216,TiNbBi3O9,1075.0
2708,SrY2O4,1400.0
7671,Cs0.667Ba1.33Ti4.673Ga3.327O16,1250.0
395,La0.6Mn1.4BiO3,1020.0
7709,SrTi0.94Nb0.06O3,1400.0
6933,Eu0.2Y3.8AlSiNO8,1650.0
10594,Na0.446Ba0.057Ca0.05TiBi0.446O3,1215.0
9803,Na0.64Ca0.1CoO2,900.0
613,Sr0.25La0.7MnAg0.05O3,1200.0
9001,SrNdNiO4,1150.0
4513,K0.4Ir4Sb12,630.0
10544,Mg0.92Tb0.08Fe2O4,1000.0
10836,Ba0.984Mg1.994P2O8,1100.0
9640,K0.3La0.7MnO3,1200.0
2356,Fe2.7Ag0.1O3.6,900.0
792,SrEu0.1Ce0.7Zr0.2O3,1485.0
4990,FeBi1.05O3,846.6666666666666
2835,Li0.04Sr0.92Ce0.04B2O4,750.0
5517,Sr0.45Sm0.55MnO3,1250.0
363,NaGdW2O8,650.0
1518,Y2Cu2O5,1075.0
6288,Ca0.8Mg0.2La0.2Ti3Al7.8O18,1500.0
6728,Na0.12Y0.08Co2O4,920.0
3374,Fe2Co0.37Zn0.51O4,1200.0
11148,CrFeCu0.4Zn0.6O4,1200.0
9726,Ho0.3La1.7W0.3Mo1.7O9,1000.0
8434,Zr0.227Ti1.136Nb0.133Ni0.067O3,1200.0
9205,Ca0.9Pr0.001TiZn0.099O3,1250.0
3301,Ce0.6Y0.4O2,1600.0
8653,Ba0.998Sm0.001Zr0.15Ti0.85O3,1270.0
5960,Sr0.15La0.85Ti0.2Cr0.6Ni0.2O3,1450.0
3257,Ca0.3Sm0.12Pr0.58CoO3,1200.0
1583,Sr3.1Y0.9Co4O10.5,1100.0
4569,Sr2Co1.9Ga0.1O5,1100.0
11013,NdTiCr0.9Al0.1O5,1300.0
2340,Li0.25Ni0.75O,710.0
7957,CaEu0.2Ti7Bi7.8O27,1150.0
10213,NaEu0.12La3.88Si3O12F,950.0
6858,Sr3.95Ca6Eu0.05Si6O21Cl2,1100.0
10582,BaCaPrCuO4.833,950.0
10987,Sr23La13FeO3,1350.0
7872,La0.1Ti0.907Mn0.068Pb0.9O3,1000.0
1214,Mg0.223Ti0.33Nb0.447PbO3,1237.5
1125,Ba0.025Ca0.975Ti4Cu3O12,1100.0
9524,La3Ta0.475Ga5.525O14,1420.0
1861,Nb0.985W0.015Cu0.015Bi0.985O4,850.0
1109,Dy0.08Nd299.92Ce0.8O2,1200.0
8544,Zr0.176Ti0.352Nb0.4Ni0.2O3,1200.0
11367,Na0.564Ba0.06TiBi0.564O3,1160.0
2376,Ba0.8La0.2Zr0.1Fe0.1Co0.8O3,1150.0
8984,K0.425Na0.425Sr0.15Zr0.15Nb0.85O3,1265.0
2997,LiZr1.25P2O8,900.0
1849,Li0.453Nd0.516TiO3,1250.0
11222,MnFeBi2O6,950.0
4819,SrAlSi5N7O2,1300.0
5506,SrPr0.01Nb2Bi1.99O9,1200.0
339,Ti0.75Fe0.1Zn0.15Pb0.6Bi0.4O3,1050.0
4279,Dy0.8Tb0.2MnO3,1280.0
5525,MgDy2TiO6,1400.0
7195,Ca1.2Nd0.8Ti0.2Al0.8O4,1400.0
8107,Ti0.682Nb0.667Ni0.333O3,1200.0
8441,Zr1.136Nb0.133Ni0.067O3,1200.0
8598,Zr0.4Nb0.267Ni0.133O3,1200.0
8346,Ti0.176Nb0.4Ni0.2O3,1200.0
9733,Sr0.02Ti0.05Nb1.96Pb0.98O6,1240.0
9787,Li2Fe0.98Ni0.02P2O7,650.0
5666,NaNdTiO4,1200.0
1268,Fe2.6Zn0.4O4,1300.0
220,LiMg0.05Mn1.95O3.9F0.1,750.0
4867,Ce0.6In0.4O2,1475.0
9060,NaCa0.95Ce0.05BO3,810.0
9994,Mn0.71Fe2.08Zn0.21O4,1360.0
11337,SrYb0.2Zr0.8O2.9,1480.0
5210,Ba0.91Ca0.09Ti0.916Sn0.084O3,1380.0
8098,Zr0.455Ti0.909Nb0.667Ni0.333O3,1200.0
5987,Sr0.9Pr0.1FeO3,1300.0
3465,Ca2EuGeO4Cl2,800.0
9820,YbSmZr2O7,1700.0
6906,Li5.5Gd0.25La3Nb1.75O12,1000.0
9607,Sr0.1La0.7MnHg0.2O3,1100.0
3091,Ti0.5FeCo1.5O4,1400.0
8440,Zr0.88Ti0.704Nb0.534Ni0.266O3,1200.0
8061,Zr0.8Ti0.6Nb0.4Ni0.2O3,1200.0
855,Sr0.97Ti0.6Fe0.4O3,1450.0
3139,Sc0.86TiNb0.5Pb2Bi0.36O7.08,1100.0
3777,Ca0.75CeTi1.75Ta0.5O7,1350.0
8127,Ti0.6Nb0.4Ni0.2O3,1200.0
6120,Sm9.33Si6O26,1600.0
4049,Zr0.08Ti0.32Nb0.3PbSb0.3O3,1230.0
1113,Dy600Ce0.8O2,1200.0
10322,La2WMoO9,1100.0
1975,Mn2.2Ni0.6In0.2O4,1300.0
3712,Tb1.2Eu0.8Mo3O12,850.0
4295,Gd0.5Y2.5Fe5O12,1400.0
3971,Eu0.5Y0.5AlO3,1500.0
3216,Sr0.99Al2O4,1300.0
8471,Zr0.528Ti0.88Nb0.133Ni0.067O3,1200.0
7866,Sr0.9Nd0.1TiO3,1400.0
10381,Mg3Tb0.2Eu0.04In3.76P6O24,1200.0
87,Na0.05Pr0.95MnO3,1200.0
2289,BaSm0.05Ce0.6Y0.15Zr0.2O3,1400.0
6770,K0.08Na0.32Co2O4,920.0
11580,BaSn0.9Sb0.1O3,1280.0
5142,Sr0.1Fe12Pb0.9O19,1100.0
5722,Sr0.7La0.3Ti0.9Cr0.1O3,1500.0
