,formula,target
7127,Li6.4La3Zr1.4Ta0.5Nb0.1O12,1150.0
4797,SrVO3,1500.0
7244,Ba0.6La0.4Nb0.534Zn0.466O3,1350.0
3415,Ba1.9CaSi6N2O12,1350.0
10981,Eu0.8Ce0.2AlO3,1400.0
3194,Na0.2Ca0.8La2Cu2O6,850.0
8694,BaTi0.6Nb0.2Al0.2O3,1400.0
2511,BaSn0.9Te0.1O3,1200.0
2293,Na3VB6O13,600.0
4247,Ba0.7Sr0.3SmCo2O5,1200.0
1283,Ca0.05Ce0.85Y0.1O1.9,1350.0
7076,Sr2WCuO6,1000.0
246,YMn0.4Fe0.6O3,1440.0
7144,Ca3Rh0.2Co3.8O9,900.0
1824,Y0.15Hf0.04Zr0.81O2,1600.0
9125,La0.008Zr0.637Ti0.343Pb0.92Sb0.072O3,1250.0
7323,SrSm0.1Nb2Bi1.9O9,1100.0
413,La0.6Mn1.4Bi0.4O3,1020.0
5044,Ba3Tb0.09Ce0.009P4O13,800.0
1242,Ba2Sc2O5,800.0
2477,Ba2Ca0.8Mg1.2Y0.2Cu2.8O7,940.0
7552,SrTi3.96W0.04Bi4O15,1050.0
11015,Na11.172Ba0.049La0.02TiBi11.172O3,1150.0
8540,Zr0.4Ti0.2Nb0.534Ni0.266O3,1200.0
7184,K0.05Na0.435Sr0.03TiBi0.485O3,1200.0
10771,BaTi0.97Ni0.03O3,1300.0
3316,La0.835MnAg0.165O3,1000.0
3348,Ba2.499Sr0.501Fe2Co0.6Cu0.4O7,950.0
6381,Ca0.3La0.65Y0.05CoO3,1200.0
296,Ca0.4Gd0.6CrO3,1400.0
8621,Ti0.6Nb0.133Ni0.067O3,1200.0
9102,Sr1.8MgSi2O6.8,1200.0
3666,Sr1.9Eu0.1P2O7,1050.0
913,Ca12Al14O33,1350.0
8558,Zr0.528Ti0.88Nb0.534Ni0.266O3,1200.0
7598,Ca0.4Nd0.6MnO3,1100.0
6991,BaCe0.8Zr0.1Nb0.1O3,1566.6666666666667
4629,Mn0.02Fe1.96Ni0.23Cu0.25Zn0.5O3.94,900.0
4324,Ba2Gd0.4Ce0.6Cu3O7,950.0
1397,TiNi0.5Pb0.5O3,1000.0
11163,Li0.35Fe2.35Zn0.3O4,1050.0
5741,Sr0.7La0.3Ti0.93Co0.07O3,1500.0
1999,Ca0.15La1.85Zr2O7,1550.0
7534,Na0.5Pr0.006Ce0.006Ti4Bi4.488O15,1130.0
10360,BaYb0.038Ti0.925Nb0.038O3,1354.0
1771,Li0.39La0.54TiO3,1350.0
2753,Ca4La6Si4P2O26,1525.0
6523,Sr0.3La0.7Ti0.3Mn0.7O3,1400.0
9427,BaYb0.1Zr0.9O3,1200.0
364,Sr0.6La0.4CoO3,1310.0
5970,Li9V2.5Al0.5P8O29,750.0
2076,Sr5.714Nb2.286O11.429,1400.0
352,Sr3LaFe3O10,1500.0
3354,Ca2Al2SiO7,1300.0
3164,NaMgF3,777.0
9991,Fe1.93Ni0.42Cu0.2Zn0.45O4,1100.0
5376,Gd3.2Si6O26,1350.0
10113,Ba2Y0.98Co0.02Cu3O7,950.0
3437,Li2Ti0.4Ru0.6O3,1000.0
482,LaMn1.6BiO3,1020.0
