,formula,target
7110,Na3.3Sn1.3Sb0.7O6,1300.0
4792,NaNdWMnO6,1000.0
7227,Ba0.85Sr0.15Zr0.1Ti0.9O3,1430.0
3411,Ba2.1Ca0.8Si6N2O12,1350.0
10957,Ba0.8Ca0.15Nd0.01Zr0.1Ti0.9O3,1400.0
3207,K0.4CaLa1.6Cu2O6,850.0
8700,BaTi0.5Nb0.25Fe0.25O3,1250.0
2511,BaSn0.9Te0.1O3,1200.0
2302,LiYF4,750.0
4235,Sr0.6Pr0.4Mo0.2Fe0.64Co0.16O3,1450.0
1283,Ca0.05Ce0.85Y0.1O1.9,1350.0
7064,Sc2W0.75Mo2.25O12,1100.0
237,Sr0.2Mg0.2La0.8Ga0.8O2.8,1472.2222222222222
7124,Y1.39SiO5,1400.0
1837,Sr1.5Ca1.5UO6,1250.0
9113,Li2CdSiO4,1100.0
7302,CuAl0.96Sb0.04O2,1100.0
399,La0.4Mn2Bi0.2O3,1020.0
5026,Eu0.02Cd0.98GeO3,1040.0
1238,BaCe0.15Fe0.85O3,1150.0
2474,Ba2Mg1.8YCu2.2O7,940.0
7530,YMn0.9Co0.1O3,1300.0
10989,Ba0.8Sr0.2RuO3,1100.0
8531,Zr0.528Ti0.352Nb0.534Ni0.266O3,1200.0
7169,Ca0.92Yb0.08Nb0.02Mn0.98O3,1250.0
10764,Mn1.2CuO2,1080.0
3314,Mn0.1Fe1.9Co0.6Zn0.4O4,1300.0
3344,Ba5YZrTi2Nb7O30,1200.0
6361,Ba0.3Sr0.7Nb2O6,1380.0
287,Ca0.2La0.56MnO3,1300.0
8624,ZrTiNb0.4Ni0.2O3,1200.0
9094,Sr1.94MgSi2O7,1350.0
3661,BaSrSiO4,1500.0
904,Yb3Al7O15,1250.0
8563,Ti0.227Nb0.4Ni0.2O3,1200.0
7576,Li2Mg0.78Co0.02Zn0.2SiO4,900.0
6981,Sr0.25Ca0.45La0.2TiO3,1500.0
4622,Gd0.05Ce0.95O2,1600.0
4308,Na0.02Ba0.588Pb0.392Te0.5Se0.5,470.0
1400,Y2SiO5,1431.75
11139,La0.05Zr0.536Ti0.439Pb0.9Bi0.05O3,1200.0
5738,Sr0.8La0.2Sc0.05Ti0.95O3,1300.0
2003,Ca0.15La2Zr1.85O7,1550.0
7506,Li1.04Ti0.39Ta0.89O3,1150.0
10365,Tb0.6MnFe0.4O3,1300.0
1788,LiMn0.333Co0.333Ni0.333PO4,800.0
2737,Sr4.995Eu0.005P3O12Cl,1050.0
6511,Ba2Ca0.01Er0.98Pr0.01Cu3O7,940.0
9433,Pr2Fe0.2Ni0.6Cu0.2O4,1300.0
351,Sr3PrFe3O10,1500.0
5977,Li9V0.5Al2.5P8O29,750.0
2085,Ca3Co3.95Cu0.05O9,925.0
342,EuFeO3,1100.0
3351,Ca1.16La1.82Y0.02Cu2O6,950.0
3178,Mg0.5Zr0.5BiO3,1160.0
10000,LaCr0.9Ru0.1O3,1150.0
5364,Ca1.6Gd3.2Si6O26,1350.0
10116,Ca0.07Mg0.93TiO3,1350.0
3430,BaCa6P4O17,1265.0
469,MnBiO3,1206.6666666666667
6455,Ca4Mo0.2Mn2.8O10,1250.0
1743,Sr0.333La0.667MnO3,1311.0
3412,Ba2.3Ca0.6Si6N2O12,1350.0
1303,La19.33Si6O41,1600.0
2128,Rb0.01Na0.49TiBi0.5O3,1160.0
7116,Y1.4SiBi0.6O5,1400.0
3456,La2Ni0.9Cu0.1O4,1225.0
9736,Ba9.1P6O24F2,1000.0
332,Ca0.33La0.67Mn0.85Al0.15O3,1350.0
8305,ZrNb0.4Ni0.2O3,1200.0
8854,Er2Ce2O7,1600.0
9272,Ca0.05Sm0.15Ce0.8O1.875,1500.0
5750,Sr0.8Ho0.2CoO3,1200.0
1492,RhAg0.8Cu0.2O2,930.0
5168,Ba3Fe24CoCuO41,1260.0
5946,SrTi0.2Co0.8O3,1200.0
1386,K0.4Ba0.6Cu2Se2,500.0
5895,Ca2.91Gd0.09Co2O6,1000.0
9522,La3TiGa5O14,1420.0
612,Sr0.15La0.7MnAg0.15O3,1200.0
10632,Ca0.9Pr0.05Nb1.6Mn0.4O9,1080.0
4823,Ba0.6Sr0.4AlSi5N7O2,1300.0
10089,Ba1.8Sr0.2PrCu3O,940.0
8835,Ca0.85Sm0.1Ti4Cu3O12,1080.0
7761,Eu0.1Sm0.9TiNbO6,1370.0
2760,Ba7Y2TiMn4O20,1550.0
6382,Ca0.3La0.7CoO3,1200.0
10453,Ca0.8Gd0.2CoO3,1300.0
6006,BaSrMoFeO6,1050.0
8301,Zr0.6Ti0.4O3,1200.0
10248,Zr0.02Fe0.98BiO3,820.0
6245,LiTiO3,1187.5
4267,Sr0.18Ca0.14Pr0.68MnO3,1200.0
26,Li2FeSiO4,650.0
11458,Ba0.842Ca0.148Pr0.01Zr0.1Ti0.9O3,1450.0
2072,Na0.5Ca10.25P7O28,1000.0
8472,Zr0.88Ti0.176Nb0.267Ni0.133O3,1200.0
305,Li4Ti5O12,885.2941176470588
6086,Gd0.17Mn3Cu0.83N,850.0
2670,Ca2La2Ti2O9,1300.0
7135,Sr0.85Pr0.1TiO3,1700.0
9414,CaZr0.99In0.01O3,1700.0
9603,La0.07Zr0.634Ti0.341Pb0.9Bi0.03O3,1100.0
2070,Na0.75Ca10.125P7O28,1000.0
8900,Ca0.64La0.36Ti0.64Ga0.36Al0.324O3,1550.0
9437,V1.75Cd0.25Bi4O11,800.0
3691,Ti0.54Sn0.442O3,1040.0
7108,Na4Sn2O6,1300.0
9134,Ca0.05CuAl0.95O2,1200.0
4493,SrV2Mn2O8,850.0
6116,Gd0.4FeBi0.6O3,830.0
4833,BaFe0.3Co0.7O3,1127.5
11448,BaZr0.13Ti0.87O3,1400.0
206,SrMg0.333Nb0.667O3,1450.0
60,Na0.03Li2.97V2P3O12,750.0
10470,Sr0.6Gd0.4Mn0.2Co0.8O3,1300.0
8896,Ca0.64La0.36Ti0.64Ga0.36Al0.18O3,1550.0
8982,Sr0.05La0.95Cr0.01Co0.99O3,1600.0
1469,Rb2Mo3Ni1.6Cu0.4O12,480.0
6631,Ba0.875Sr0.125Al2Si2O8,1140.0
7431,Nb0.333Zn0.667BiO3,770.0
2937,UThO4,1750.0
1308,Sr2TiMo0.3Fe0.7O6,800.0
9956,BaTi0.4Mn0.4Fe11.2O19,1350.0
2542,Ag0.6Cu1.4Ga0.8Ge0.2Se3,550.0
4215,SrY2Mo4O16,500.0
5216,Ba0.5Sm0.5Ti0.5Fe0.5O3,1200.0
6196,Na0.6Li2Ba0.7Ti6O14,990.0
11026,Na0.85CoO2,850.0
3556,Ca3Ir0.2Co3.8O9,900.0
3168,WSn0.4O3,550.0
7763,Eu0.1Y0.9TiNbO6,1370.0
5867,Zn9In2O12,1300.0
9881,Ni0.3Cu0.07Zn0.63O4,1125.0
7673,Cs1.33Ti6.67Ga1.33O16,1250.0
8134,Zr0.2TiNb0.667Ni0.333O3,1200.0
11183,Li0.3Mg0.4Fe2.3Zn0.6O4,1000.0
10092,Pr1.85Ce0.15V0.04Cu0.96O4,1000.0
882,Sr0.6La1.4Mn0.5Co0.5O4,1250.0
390,La0.4Mn1.8Bi0.6O3,1020.0
8041,SrTi0.995Ni0.005O2.995,1350.0
6563,Ba0.7Sr0.3Nb2O6,1315.0
10023,TbBiO3,850.0
1019,MgNb2O6,1228.3333333333333
9027,Mg0.3Zr0.3W3Al1.4O12,1100.0
1067,BaYb0.5Zr0.5O3,1500.0
5568,BaNd0.05La1.95ZnO5,1200.0
918,TaInO4,800.0
3306,Ca0.5Nd0.5Cr0.07Mn0.93O3,1500.0
8720,Sr2.85La0.15Ti2O7,1525.0
10954,Ba0.8Ca0.15Zr0.1Ti0.9O3,1400.0
1454,Ca1.4Nd0.6MnO4,1500.0
5187,SrNb0.667Zn0.333O3,1400.0
4201,Er0.1FeBi0.9O3,810.0
4280,Dy0.6Tb0.4MnO3,1280.0
10268,Ba2GdEu8Si6O26,700.0
6117,Gd0.5FeBi0.5O3,830.0
671,Sr0.4Pr0.3La0.3MnO3,1400.0
1055,MoCo0.7Zn0.3O4,600.0
7021,NaEuScSi2O7,1250.0
8950,CaTi3.995Ta0.005Cu3O12,1050.0
