,formula,target
5513,Ba0.3Sr0.7Zr0.1Ti0.9O3,1500.0
10511,Ba0.8Sr0.2Ti0.95Nb0.033Zn0.017O3,1430.0
4107,Zr0.8Nb0.06Mn0.08PbSb0.06O3,1230.0
11594,Ca0.15Mn0.15Fe0.85Bi0.85O3,850.0
11004,Ba0.15La1.85Mo2O9,950.0
3013,Fe0.1In1.8Sn0.1O3,1200.0
6443,LaSc0.1Mn0.9O3,1400.0
7778,La2MnNiO6,1441.6666666666667
4124,Zr0.4Nb0.12Mn0.36PbSb0.12O3,1230.0
6661,SrY0.2Zr0.8O3,1650.0
5009,Ba0.05Sr1.95CeO4,1200.0
3840,SrEu0.1Bi1.9TeO7,800.0
4811,Ba2Y3Si3O12F,1300.0
7374,LiGa5O8,1250.0
4993,Dy0.05FeBiO3,840.0
6636,Er0.1Si3Bi3.9O12,900.0
10674,Sr0.333La1.667Ni0.7Al0.3O4,1400.0
2614,Y2MnCoO6,1250.0
7923,Na0.5Sr0.07Ti0.93Ga0.07Bi0.43O3,1050.0
3034,Ba0.5Ca0.5Zr4P6O24,1200.0
1928,Ba2CuHgO4,780.0
8477,Zr1.136Ti0.909Nb0.534Ni0.266O3,1200.0
3770,Sr0.5Mg0.56La0.5Nb0.44O3,1600.0
7552,SrTi3.96W0.04Bi4O15,1050.0
3634,SnSe0.2S0.8,630.0
8831,Na0.5La0.05Ti4Cu3Bi0.45O12,970.0
10984,Eu0.6Ce0.4AlO3,1400.0
5923,La0.87Mn1.26O3.39,1350.0
5010,Ba0.05Sr1.83Eu0.12CeO4,1200.0
2716,Ba2.99Eu0.01P4O13,600.0
5449,BaHf0.23Ti0.77O3,1250.0
6437,Sr0.12Nd0.6La1.28CuO4,1000.0
10381,Mg3Tb0.2Eu0.04In3.76P6O24,1200.0
5155,Ti0.9Cr0.05Sb0.05O2,1000.0
1065,Gd0.1Ce0.9O1.95,1533.5714285714287
10637,Ca0.9Pr0.05Nb1.2Mn0.8O9,1080.0
624,Rb2Mo3Cu2O12,473.3333333333333
6745,Y0.4Co2O4,920.0
5188,Sr0.15Mn0.15Fe0.85Bi0.85O3,850.0
4643,Sr0.1Ca0.3Tb0.05La0.7MnO3,1200.0
8575,Ti0.909Nb0.534Ni0.266O3,1200.0
9977,Ca0.85Eu0.15MnO3,1497.0
4974,Sr0.99TiO3,1500.0
1854,Na3Ni2SbO6,900.0
571,La0.2Mn2Bi0.2O3,1020.0
7973,Ca3Mn2O7,1300.0
5756,Li0.55Fe2.35Si0.1O4,1000.0
1421,SrFe0.25Co0.75O,1150.0
3586,Y2W2.5Mo0.5O12,1100.0
2949,Zn1.997SiO4,1200.0
198,BaZr0.1Ti0.9O3,1366.4666666666667
5996,Sr2Mn1.6Fe12Cu0.4O22,1150.0
4186,SrFe0.04Sn0.96O3,1380.0
479,La0.6Mn2BiO3,1020.0
5361,Ca2Gd8Si6O26,1350.0
2834,Li0.08Sr0.84Ce0.08B2O4,750.0
1440,Sr0.8La0.2Cr0.02Mn0.98O3,1550.0
1069,Fe2CuS3,500.0
1986,K3Ba2Nb5CO18,1280.0
6810,Na0.32Sr0.08Co2O4,920.0
7107,Na3.8Sn1.8Sb0.2O6,1300.0
1155,Sr1.98La0.02Co2Bi2O9,840.0
11318,Mg0.57Zr0.07Fe1.86Zn0.5O4,1100.0
2783,Na0.3Sr2.4Ce0.3Al2O5Cl2,1000.0
3868,La0.8Y0.1MnTe0.1O3,1100.0
11120,Sr0.4La0.5MnO3,1150.0
1802,Sr0.3Pr0.7CoO3,1200.0
201,Ba2SmRu0.05Cu2.95O7,930.0
9854,Fe1.7Cu0.5Zn0.5Ga0.3O4,1200.0
3972,Eu0.001Y0.999AlO3,1500.0
267,Ba0.4Sr0.6MnO3,1400.0
8946,Ca1.88Eu0.12BO3Cl,700.0
9126,Zr0.637Ti0.343Pb0.92Sb0.08O3,1250.0
1747,La0.16Ti0.96Pb0.84O3,1000.0
7363,Na0.47Ba0.06Zr0.003Ti0.997Bi0.47O3,1130.0
11493,Sr0.8La1.2TaFeO6,1550.0
10816,Ba0.982Mg2P2O8,1100.0
4962,K0.5Ti4Bi4.5O15,1110.0
6344,Ca0.6MgLa0.4Ti3Al7O18,1500.0
8034,DyMn0.5Fe0.5O3,1300.0
11309,Ba0.9Ca0.1TiFe0.005O3,1350.0
7702,BaZr0.025Ti0.975O3,1300.0
909,Mg4Cr0.4Ga7.6Ge2O20,1400.0
1278,Sr0.5Sm0.5TiO3,1100.0
1387,BaCu2Se2,500.0
2566,SrLa2Cu2O6,1070.0
9968,Fe2.5Cu0.3Zn0.2O4,1150.0
9477,Sr0.25La0.75Cr0.5Mn0.44Ni0.06O3,1450.0
4194,Ca0.5Nd0.5Mn0.97Ru0.03O3,1200.0
8231,Ti0.88Nb0.267Ni0.133O3,1200.0
6873,MgLa10Si5O26,1566.6666666666667
1867,Mg0.5Cu2Zn0.5SnS4,750.0
2723,Ba2.95P2O8,1300.0
5429,Mn0.21Zn1.79SiO4,1150.0
8026,Ca1.97Ce0.03Sc2MnSi3O12,1350.0
28,BaYCo2O,1100.0
11212,W0.5Cd0.5PbO3,850.0
6198,Na0.4Li2Ba0.8Ti6O14,990.0
1135,Sr0.05Mg0.1Fe0.9Bi0.95O3,800.0
5720,Sr0.7Pr0.3Co0.95Sn0.05O3,1100.0
3846,LiEu0.1La8.9Si6O26,1350.0
2062,Sr2HoFeCu2O7,980.0
11136,Zr0.9Ti0.1PbO3,1200.0
6998,Sr0.8Y0.2VO3,1500.0
6530,YMn2O5,1012.5
4699,Sr2Ca2Cu3Pb0.3Bi1.7O,846.6666666666666
1479,Mg0.6Rh0.4Ag0.8Cu0.2O2,930.0
9911,Mn0.2Fe0.4Ni0.3Cu0.07Zn0.63O4,1125.0
4117,Zr0.2Mn0.8PbO3,1230.0
5386,Ba0.9Sr0.1GdCo2O6,1100.0
10279,Gd4.95Ce0.05Si3NO12,1600.0
9983,Li0.05La0.95MnO3,1100.0
213,La2Ti2O7,1483.3333333333333
3861,Na2.93LiDy0.07P2O7,540.0
11503,Ca0.45La0.39Fe11.82O19,1300.0
6465,Ca0.3Nd0.595Y0.105CoO3,1200.0
8728,V2Co2O7,600.0
6106,CaW0.97Mo0.03O4,1000.0
2828,Sr2Gd7.92Ce0.08Si6O26,1500.0
1241,Sr0.88Y0.08TiO3,1500.0
11359,Ba0.06TiBi0.94O3,1160.0
2631,Sm0.75Nd0.25NiO3,900.0
6820,Sr0.4Co2O4,920.0
11252,BaHf0.03Ti0.97O3,1495.0
9211,Eu0.05ZrNb0.05O2,1350.0
4624,Fe2Cu0.25Zn0.75O4,1000.0
1740,CaZr0.4Co0.5Pd0.1O3,1200.0
5382,Ca2Si6O26,1350.0
9079,Na0.16Sr0.68Pr0.16B4O7,900.0
8251,Ti0.682Nb0.534Ni0.266O3,1200.0
4180,Ca0.273La0.727Cr0.06Mn0.94O3,1450.0
8814,Sr0.87Dy0.03La0.1TiO3,1460.0
10739,Ca0.99Y0.01Ti3.99Cu3Al0.01O12,1100.0
10571,LaFe0.4Ni0.6O3,1400.0
568,Mn1.8Bi0.8O3,1020.0
6028,Zr0.15Ti0.85PbO3,1200.0
4546,Zr0.14Ti0.56Pd0.3PbO3,1200.0
4796,SrNb0.1V0.9O3,1500.0
6241,K0.09Na0.41TiBi0.5O3,1175.0
1056,MoCo0.3Zn0.7O4,600.0
357,Li0.33La0.56TiO3,1290.0
6971,Na0.5Mg0.01Ti0.99Bi0.501O3,1150.0
804,Tm3Fe5O12,1300.0
282,La0.9MnTe0.1O3,1064.2857142857142
192,Cu0.04Zn0.96O,500.0
7044,Sr1.7La0.3TiMoO6,1400.0
9172,TbMn0.7Ga0.3O3,1400.0
4927,Gd0.8B3Bi0.2O6,820.0
9281,Lu0.2Gd0.1Bi2O3.45,750.0
7408,BaZr0.08Ti0.72Sn0.2O3,1427.0
1149,K0.2CeBi25O2,800.0
8294,Zr0.455Ti0.455Nb0.267Ni0.133O3,1200.0
7131,Sr0.8Ce0.1TiO3,1700.0
803,TmSm2Fe5O12,1300.0
8072,Zr0.227Ti0.455Nb0.534Ni0.266O3,1200.0
2190,Ba0.333La0.667Mn0.95Sb0.05O3,1260.0
3549,Ta0.6BiSb0.4O4,1200.0
7049,Ba2TiFe12O22,1233.3333333333333
2283,Sr0.651La0.279TiO3,1500.0
3492,Mg0.3La9.69Si5.7O26.24,1750.0
8961,Ba1.1Ce0.9Y0.1O3,1550.0
3863,Na2.91LiDy0.09P2O7,540.0
8751,U0.9Gd0.1O2,1700.0
7902,Ti0.312Fe2.258Ni0.68O4,1400.0
519,La0.8Mn1.4O3,1020.0
10123,Mg0.019Nb0.75Mo0.25Pb0.356O3,700.0
7177,Sr2MoFe0.85Ni0.15O6,1100.0
4149,Sr0.33La0.67CoO3,1000.0
10689,CaTi4Co0.05Cu2.95O12,1100.0
9621,LaCo0.9Ni0.1O3,1200.0
1536,BaFe16Cu0.8Zn1.2O27,1200.0
3601,LiBiP2O7,500.0
8647,ZrTi0.6Nb0.534Ni0.266O3,1200.0
3305,Ca0.5Nd0.5Cr0.02Mn0.98O3,1500.0
6799,Na0.24Yb0.16Co2O4,920.0
2448,TiNi,1000.0
7230,Eu0.3FeBi0.7O3,880.0
2695,Ca3Sc1.2TaGa1.8Si2O14,1300.0
7663,Sr1.85Ca0.15Nd0.1Ti5Bi3.9O18,1180.0
396,Mn2Bi0.2O3,1020.0
7704,Na0.25Nb0.25Fe0.75Bi0.75O3,870.0
6961,Mg0.266Ti0.2Nb0.534O2,1400.0
10552,SrFe0.6Ni0.4O3,1400.0
9780,Gd0.05Pr0.2Ce0.75O2,1600.0
604,MgPrPbSbO6,1100.0
8989,Ba0.92Ca0.08Hf0.05Ti0.95O3,1450.0
4529,LaNiO3,1280.0
10497,Li2Mg0.08Ti0.76Nb0.16O3,1150.0
10798,BaMg1.99P2O8,1100.0
9617,Sr0.3Nd0.7Mn0.8Ga0.2O3,1350.0
2340,Li0.25Ni0.75O,710.0
786,Ba3Ca1.18Nb1.82O9,1562.5
4997,Sr0.2Mg0.02La0.8Fe0.9Ga0.08O3,1450.0
2830,Al2B2SiO8,870.0
5531,Gd0.999Al3B4O12,1100.0
368,Fe2Ni0.7Zn0.3O4,1055.0
1525,Ba0.18Ca0.32La0.5MnO3,1300.0
6323,Mg0.2LaTi3Al7.8O18,1500.0
6760,K0.48Na0.32Co2O4,920.0
3394,LaVO4,1150.0
11103,La0.02TiMo0.02Fe0.02Pb0.98O3,1200.0
9695,Zr0.7Ti0.7O3.01,1400.0
8431,Zr0.909Ti0.227Nb0.4Ni0.2O3,1200.0
9179,Ca0.488Nd0.208Ti0.4Al0.532O2.4,1580.0
3319,La0.65MnAg0.35O3,1000.0
8662,Cr0.3Mn1.7O3,1300.0
5988,Sr0.92Pr0.08FeO3,1300.0
3274,Eu0.05Ti0.543Pb0.95Sn0.444O3,1040.0
1596,La2Nb2O8,1000.0
4589,Ti0.784Nb0.02Pb0.99Sn0.196O3,1300.0
10970,NaTi3Ta0.7Cu3Sb0.3O12,1060.0
2322,Ca0.2CeLa1.8ZrO7,1600.0
7948,BaScFe11O19,1180.0
10164,GdTi3Nb7Pb5O30,1200.0
6892,Nd0.1V1.9Bi4O11,750.0
10536,Mg0.94Tb0.06Fe2O4,1000.0
10947,Ba3Nb1.991Mo0.009ZnO9.004,1435.0
7862,Mg0.1Mn1.25Co0.9Ni0.75O4,1250.0
1210,Sr1.95Eu0.05SiO4,1200.0
1132,Li0.3Fe2.225Zn0.4Bi0.075O4,1050.0
9505,LaNb0.92W0.08O4.04,1400.0
1866,Mg0.25Cu2Zn0.75SnS4,750.0
1119,La0.4Mo2Bi1.6O9,680.0
8553,Ti0.227Nb0.133Ni0.067O3,1200.0
11328,Mg0.97Zr0.07Fe1.86Zn0.1O4,1100.0
2360,Fe2.1Ag0.3O2.8,900.0
8973,Li1.14Ti0.14Nb0.86O3,1100.0
3007,Ba2La4.8Si6O26,1350.0
1852,La3NbNi2O9,1500.0
11187,Fe1.2Ni1.4Pb0.4O4,1050.0
4827,Na0.455Yb0.07Er0.02Nb2Bi2.455O9,1100.0
5519,Fe1.91Ni0.65Zn0.35Al0.09O4,1200.0
344,K0.1La0.9Nb0.1Co0.9O3,1400.0
4294,Gd0.25Y2.75Fe5O12,1400.0
5540,Ca0.5Pr0.5CoO3,1200.0
7210,Gd1.2Eu0.8Zr2O7,1700.0
8121,Zr0.176Ti0.528Nb0.133Ni0.067O3,1200.0
8439,Ti0.6Nb0.534Ni0.266O3,1200.0
8609,Zr0.8Ti0.6Nb0.534Ni0.266O3,1200.0
8351,Zr0.2Nb0.667Ni0.333O3,1200.0
9704,Ca0.33Tb0.1La0.57MnO3,1400.0
9764,Sr2NbFe0.1Co0.9O6,1400.0
5687,Y2Hf2O7,1700.0
1254,Fe0.4In1.6O3,800.0
227,SrTiO3,1380.0943396226414
4874,BaCe0.8In0.2O2.9,1483.3333333333333
9043,Sr0.98Al2Si2O8,1300.0
9963,K0.15Sr0.25Pr0.6MnO3,1100.0
11300,Lu1.2La0.8Zr2O7,1830.0
5220,Ti4TaBi6.85O21,1100.0
8109,Zr0.4TiNb0.534Ni0.266O3,1200.0
6011,Mn0.03Zn0.97O,1100.0
3482,Ba1.6Sr0.4CuO,940.0
9796,Na0.05Sr0.95Ti0.8Nb0.2O3,1400.0
6931,Ce0.8Y3.2AlSiNO8,1650.0
9587,La2Hf2O7,1500.0
3096,Mg0.1Zn0.9O,1125.0
8438,Zr0.909Ti0.682Nb0.534Ni0.266O3,1200.0
8065,Zr0.2TiO3,1200.0
845,Pr0.9MnTe0.1O3,1050.0
3156,LiY1.8Si6O26,1350.0
3794,Sr0.33La0.67Mn0.95Fe0.05O3,1200.0
8139,Zr0.682Ti0.682Nb0.133Ni0.067O3,1200.0
6151,Ba2GdCr0.05Cu2.95O7,930.0
4063,Zr0.16Ti0.24Nb0.3PbSb0.3O3,1230.0
1122,SrFe12O19,1084.3125
10264,Ba2GdEu2Si6O26,700.0
1975,Mn2.2Ni0.6In0.2O4,1300.0
3740,Ag0.3GeSb0.3Te0.6Se,500.0
4315,SmTiO5,1550.0
3989,Ca0.9La0.05MnBi0.05O3,1300.0
3230,SrTi4Bi4O15,1110.0
8468,Zr0.176Ti0.176Nb0.667Ni0.333O3,1200.0
7854,Li0.08TiO3,1250.0
10327,Gd2SiO5,1500.0
92,Li2MnO3,655.0
2272,Ba3Sm0.005Y0.995P3O12,1300.0
6803,SrCo2O4,920.0
11585,CaB2Bi2O7,800.0
5146,BaTiCr0.025Sb0.025O3,1000.0
5749,BaV2Co2O8,900.0
8797,Ba0.99Sr0.01Mo4Bi2O16,700.0
680,Ba1.9Ca0.05Nd0.1Y0.95Cu3O,950.0
8499,Zr0.2Ti0.8Nb0.267Ni0.133O3,1200.0
5941,SrV2Pb0.3Bi1.7O9,850.0
3009,Sr2LaSbO6,1500.0
4066,Ti0.8Nb0.06Mn0.08PbSb0.06O3,1230.0
10655,Sr0.176Ca0.176La0.528Mn0.88O2.64,900.0
3792,Sr0.33La0.67Mn0.33Fe0.67O3,1200.0
4449,Li6.75Ca0.25La2.75Zr1.75Nb0.25O12,1050.0
10003,Sr0.5Nd0.5Mn0.93Cu0.07O3,1400.0
8627,Ti0.227Nb0.534Ni0.266O3,1200.0
5806,Sr0.883Y0.077TiO3,1500.0
4027,Ca0.08Sm1.92Sn2O7,1550.0
2808,Ca0.1Mg0.9TiO3,1050.0
3644,La0.025Zr0.5Fe0.475Pb0.5Bi0.5O3,850.0
1992,MgMnGaO4,1500.0
8939,Ca0.92Yb0.08Nb0.08Mn0.92O3,1325.0
3821,Ca1.92Eu0.08P2O7,1050.0
3353,Ca1.13La1.82Y0.05Cu2O6,950.0
7794,Ca0.3Pr0.7Cr0.02Mn0.98O3,1300.0
8129,Zr0.227Ti0.682Nb0.267Ni0.133O3,1200.0
7195,Ca1.2Nd0.8Ti0.2Al0.8O4,1400.0
4950,Ba2Fe12Co2O22,1100.0
5638,Li2Sr0.6Ca0.4SiO4,900.0
8861,K0.5Na0.5NbCu1.25O3,1090.0
2683,Ba2DyCu3O,940.0
10259,Ba0.9Ca0.1Ti0.98Sn0.02O3,1450.0
6352,SrLa0.2Ti4Bi3.8O15,1125.0
10912,Sr2HoRuO6,1400.0
9991,Fe1.93Ni0.42Cu0.2Zn0.45O4,1100.0
6155,Sr2Eu1.6Ce0.4RuCu2O10,1040.0
5785,La0.045Y0.135Zr0.82O2,1600.0
10721,Ba0.8Ti0.84Zn0.04Bi0.2O3,1050.0
2932,CaCr0.3Mn0.7O3,1300.0
2278,Yb0.24Y2.76Al5O12,1500.0
5043,Ba3Tb0.9Ce0.006P4O13,800.0
6880,Ba1.4Nd0.6InO3.8,1400.0
6557,Ba0.7Sr0.3Ti0.99Fe0.01O3,1450.0
9362,Cr3ZnGa2O4,1000.0
6910,LaCr0.005Al0.995O3,1500.0
6018,Sr0.55La0.45Mn0.85Co0.15O3,1350.0
8090,ZrTi0.6Nb0.267Ni0.133O3,1200.0
2289,BaSm0.05Ce0.6Y0.15Zr0.2O3,1400.0
8915,Ti2Ta2Cu3O12,1060.0
8436,Zr0.227Ti0.227Nb0.534Ni0.266O3,1200.0
2428,Li0.5Mn0.9Fe2.05O4,1200.0
10484,Sr0.2Gd0.8MnO3,1300.0
4588,Zr0.118Ti0.784Nb0.02Pb0.99Sn0.078O3,1300.0
10878,Zr0.634Ti0.341Pb0.9Sb0.1O3,1100.0
3062,Ca0.3La0.7Mn0.9Ga0.1O3,1250.0
6296,CaMg0.4Al10.6O18,1500.0
1906,Na0.93CoO2,900.0
1663,Zn0.04In1.96O3,950.0
9922,Mn0.2Zn0.8O,600.0
1437,TiCo2O4,1300.0
5239,Cr2Zn3Ge3O12,1350.0
4051,Zr0.16Ti0.64Mn0.2PbO3,1230.0
8789,Ba0.94Ca0.06Mo4Bi2O16,700.0
5134,Sr0.5La0.45Y0.05CoO3,1200.0
7025,ZrTa0.12Nb1.88ZnO8,1250.0
2767,SrRhO3,1200.0
8425,Ti0.6Nb0.667Ni0.333O3,1200.0
11274,Ba0.6Sr0.4PbO3,850.0
5543,Gd0.2Pr0.2Ce0.6O2,1600.0
609,Sr0.1Ce0.9V0.5Cr0.5O3,1100.0
4358,Sr1.6MoFeBi0.01O6,1280.0
3583,Ti0.35Nb0.325In0.325PbO3,1175.0
712,La0.15FeBi0.85O3,864.0
9390,Li1.3Cr0.1Mn0.6O2,1000.0
3609,Sr0.2La0.8InO3,1400.0
5680,Ca0.98Mn0.97Si0.03Bi0.02O3,1300.0
9349,Fe1.8NiAl0.2O4,1200.0
3079,Sr0.5Eu0.5CoO3,1225.0
4424,Li7.5Gd0.5La3Zr1.5O12,1220.0
5090,La0.9Mn0.63Al0.47O3,1350.0
4771,BaEu0.1Ce0.9O3,1500.0
10267,Ba2GdEu0.5Si6O26,700.0
1501,Mg0.6Rh0.4Ag0.6Cu0.4O2,930.0
6954,K0.318Na0.542Li0.02Ca0.04Nb0.85O3,1150.0
6336,Mg0.4LaTi3Al7.6O18,1500.0
3996,Ca0.9Cu2.026Zn0.074O3,1020.0
5173,BaCe0.08Ti0.92O3,1400.0
10232,Mg0.333Nb0.667FePbBiO6,760.0
878,Tb3Ga5O12,1350.0
6832,Ba0.798Ca0.2Pr0.002TiO3,1400.0
2345,Ca0.85La0.15MnO3,1298.5
567,Mn1.8Bi0.2O3,1020.0
1008,CaLaCr11O19,1100.0
