,formula,target
7074,Sr2W0.9Mo0.1CuO6,1000.0
4777,Ca8.994Eu0.006Ce0.03Y0.97P7O28,1250.0
7179,Sr2MoFe0.9Ni0.1O6,1100.0
3381,Ba0.6Ca0.4SiO3,1250.0
10988,Sr23Pr13FeO3,1350.0
3179,Er0.05La1.95Mo2O9,950.0
8661,Ba5NdZr3Nb7O30,1200.0
2503,Ba2Ca0.2Mg0.6Y0.8Cu3.4O7,940.0
2289,BaSm0.05Ce0.6Y0.15Zr0.2O3,1400.0
4209,Sr1.5Ca0.3La1.2Cr0.05Mn1.95O7,1250.0
1267,Fe2.5Zn0.5O4,1225.0
7026,ZrTa0.2Nb1.8ZnO8,1250.0
228,BaSnO3,1266.0
7089,Ba4Nd0.502La0.168Nb10O30,1400.0
1802,Sr0.3Pr0.7CoO3,1200.0
9099,Sr1.2MgSi2O6.2,1200.0
7255,Ba3CeTi5Nb5Bi2O30,1300.0
392,LaMn1.8Bi0.8O3,1020.0
5017,Ba0.98Mg0.02Zr0.02Ti0.98O3,1150.0
1225,Ba0.5Sr0.5GdFe1.5Co0.5O5,1200.0
2473,Ba2CaCu4O7,940.0
7482,BaNb0.677Zn0.323O3,1500.0
11024,Na0.8CoO2,850.0
8512,Zr0.227Ti0.455Nb0.133Ni0.067O3,1200.0
7127,Li6.4La3Zr1.4Ta0.5Nb0.1O12,1150.0
10796,Ba0.992Mg1.99P2O8,1100.0
3283,CaTmAlO4,1450.0
3313,Mn0.2Fe1.8Co0.6Zn0.4O4,1300.0
6326,CaMg0.6Ti3Al7.4O18,1500.0
279,Sr0.097Mg0.2La0.873Ga0.8O3,1400.0
8589,Zr0.4TiNb0.4Ni0.2O3,1200.0
9075,K0.02Sr0.96Pr0.02B4O7,900.0
3637,BaYFeCuO5,1150.0
889,LiTi2P3O12,916.6666666666666
8532,Zr0.4Ti0.2O3,1200.0
7529,SrGd0.1Nb2Bi1.9O9,1230.0
6940,Pr2Ti2O7,1300.0
4595,Ti0.196Nb0.02Pb0.99Sn0.784O3,1300.0
4293,GdY2Fe5O12,1400.0
1373,Ba2Ca2Cu3Tl2O10,910.0
11168,Ba1.75Ca0.25YCu3O7,950.0
5692,NaSr0.99Tb0.01PO4,1200.0
1970,Mn2.8In0.2O4,1300.0
7458,Ba0.98Ca0.02Ti0.9Sn0.1O3,1600.0
10404,Ca0.993Yb0.2Y0.8AlO4,1400.0
1753,W0.05Ir1.95CuS4,900.0
2741,Na0.49Ho0.02Nb2Bi2.49O9,1100.0
6461,ScFeO3,1200.0
9426,Sr0.5Sm0.5Fe0.5Co0.5O3,1200.0
343,Y0.1Nb2Zn0.9O6,1000.0
5917,Ba0.3Sr0.2MnBi0.5O3,1000.0
